,Informal Text,Expanded Meaning,Polarity
404,"dis planâ€™s dead af, gotta rethink",this plan is dead as fuck got to rethink it,negative
405,"ttyl, rn gotta bounce",talk to you later right now got to leave,negative
406,"ngl, dis got me tight af",not going to lie this got me really upset as fuck,negative
407,gtfoh w dat weak shit,get the fuck out of here with that weak shit,negative
408,"was, imma grab sm food, u in?",wait a second i m going to grab some food are you in,negative
409,"lmao, can't believe u said dat",laughing my ass off cannot believe you said that,negative
410,"fr, u need 2 chill w dat",for real you need to chill with that,neutral
411,"gtg, boss is callin smh",got to go boss is calling shaking my head,negative
412,"g2g, was on sm stuff, ttyl",got to go wait a second on some stuff talk to you later,neutral
413,wyd? u wanna grab smth 2eat?,what are you doing do you want to grab something to eat,positive
414,"fyi, dat mtg is postponed",for your information that meeting is postponed,neutral
415,"dis proj is rly fk'd, dunno how 2fix",this project is really messed up i do not know how to fix it,negative
416,"gtfoh, dis can't b true",get the fuck out of here this cannot be true,negative
417,"dat was af dope, u missed it",that was as fuck dope you missed it,negative
418,"bruh, u trippin rn, dis ain't legit",bro you are tripping right now this is not legitimate,negative
419,"idk, was sm BS tbh",i do not know wait a second some bullshit to be honest,negative
420,"lmao, u da real MVP",laughing my ass off you are the real mvp,positive
421,sup? wanna link @ da mall 2nite?,whats up do you want to meet at the mall tonight,positive
422,"hmu if u free, we can chill 4 a bit",hit me up if you are free we can chill for a bit,neutral
423,"rn, can't deal w dis bs, sry",right now i cannot deal with this bullshit sorry,negative
424,"dat's cray af, neva seen smth like dis",thats crazy as fuck never seen something like this,negative
425,"omg, u gotta stop w dis ish",oh my god you have to stop with this shit,negative
426,"fr tho, sm stuff ain't adding up",for real though some stuff is not adding up,neutral
427,"gtg, fam's callin, ttyl",got to go family is calling talk to you later,positive
428,"brb, was gettin a call, smt's up",be right back wait a second getting a call somethings up,negative
429,"np, i'll handle dat l8r",no problem i will handle that later,positive
430,"dat xam was bs af, dunno y i even tried",that exam was bullshit as fuck i do not know why i even tried,negative
431,"yo, r u comin ova 2nite or nah?",hey are you coming over tonight or not,negative
432,"smh, dat was sum straight bs",shaking my head that was some straight bullshit,negative
433,"hmu l8r, we gotta sort dis out",hit me up later we have to sort this out,neutral
434,"can't b bothered, dis day is trash af",cant be bothered this day is terrible as fuck,negative
435,"ik, but can't do sh rn",i know but cannot do shit right now,neutral
436,"gtg, fam wants me 2 do chores, fml",got to go family wants me to do chores fuck my life,negative
437,"ur wild af 4 dat, u crazy",youre wild as fuck for that you are crazy,positive
438,"sm stuff came up, c u tmrw",some stuff came up see you tomorrow,neutral
439,"dis tech is ancient af, need 2 upgrade",this technology is ancient as fuck need to upgrade,positive
440,"tbh, idc, do u man",to be honest i do not care do you man,negative
441,"lol, dat meme killed me, 10/10",laughing out loud that meme killed me,negative
442,rly? u still think dat? smh,really you still think that shaking my head,neutral
443,"bruh, dat car is dope af, fr",bro that car is dope as fuck for real,negative
444,"jk, i ainâ€™t serious bout dat",just kidding i m not serious about that,negative
445,"dis planâ€™s a mess, let's change smth",this plans a mess let us change something,negative
446,"ffs, dat was 2much, can't handle rn",for fucks sake that was too much cannot handle right now,negative
447,"gtfoh, dat's sum weak shit",get the fuck out of here that is some weak shit,negative
448,"g2g, cya l8r!",got to go see you later,positive
449,sup? u free 2nite?,whats up are you free tonight,positive
450,idk if i can make it,i do not know if i can make it,neutral
451,"dat was lit, u shoulda been there",that was amazing you should have been there,positive
452,rly? dat sounds cray,really that sounds crazy,negative
453,4real? dis can't b true,for real this cannot be true,negative
454,"just fyi, meeting's moved 2 tmrw",just for your information the meeting is moved to tomorrow,positive
455,hbd! hope u have a gr8 day,happy birthday hope you have a great day,positive
456,"dis party's dead, let's bounce",this party is boring let us leave,negative
457,"btw, u still owe me $20",by the way you still owe me,positive
458,wyd atm? wanna hang?,what are you doing at the moment want to hang out,positive
459,"imho, dat's not cool",in my humble opinion that is not cool,negative
460,dis is y u don't trust randoms,this is why you do not trust strangers,negative
461,"yessss, finally got the job!",yes i finally got the job,positive
462,"ily, thx for everything!",i love you thanks for everything,positive
463,"np, i'll take care of it",no problem i will take care of it,positive
464,"fr, dat movie was trash",for real that movie was terrible,negative
465,"lol, dis made my day",laughing out loud this made my day,positive
466,dis wifi is trash af,this wifi is really terrible,negative
467,"dat's wild, i didn't expect dat",thats crazy i did not expect that,negative
468,u 4got 2 mention dis part,you forgot to mention this part,neutral
469,"bbl, gonna grab food",be back later going to grab food,negative
470,"dis is huge, congrats!",this is huge congratulations,positive
471,"bruh, r u srs?",brother are you serious,positive
472,"u da best, thx!",youre the best thanks,positive
473,"gotcha, np!",got it no problem,positive
474,"jk, i didn't mean dat",just kidding i did not mean that,negative
475,"dat's on u, ur call",thats on you it is your decision,neutral
476,"glhf, hope u win!",good luck have fun hope you win,positive
477,wyd after work?,what are you doing after work,positive
478,"dunno, let me check",i do not know let me check,negative
479,"lmao, dat's hilarious!",laughing my ass off that is hilarious,positive
480,"tbh, idk wut 2 say",to be honest i do not know what to say,neutral
481,"srsly tho, u got dis",seriously though you have got this,negative
482,"dat's dope af, no cap",thats really cool no lie,neutral
483,"rn, i can't focus on dis",right now i cannot focus on this,negative
484,"yo, chill out dude",hey relax dude,positive
485,wut r u up 2?,what are you up to,positive
486,"np, take ur time",no problem take your time,positive
487,"dat's a no-go, sorry",thats not going to happen sorry,negative
488,idk wut's happening,i do not know what is happening,neutral
489,"hmu l8r, let's chat",hit me up later let us chat,negative
490,y u mad bro?,why are you mad brother,negative
491,"srsly, u did dat?",seriously you did that,negative
492,"imma b late, sry",i am going to be late sorry,negative
493,tgif! finally the wknd,thank god it is friday finally the weekend,positive
494,"no cap, dat was fire!",no lie that was amazing,positive
495,"bruh, r u 4 real?",brother are you for real,positive
496,wyd? bored af,what are you doing i am very bored,negative
497,"cya, hve a gr8 day",see you have a great day,positive
498,"dat's sus, idk if it's legit",thats suspicious i do not know if it is legitimate,neutral
499,"can't make it 2nite, sorry",cant make it tonight sorry,negative
500,"rofl, dat was hilarious!",rolling on the floor laughing that was hilarious,positive
501,u down 2 hang l8r?,are you down to hang out later,negative
502,"fomo, can't miss dis event",fear of missing out cannot miss this event,negative
503,"omg, r u serious rn?",oh my god are you serious right now,negative
504,dat was dope af,that was amazing as fuck,positive
505,"btw, i gotta ask u sumthin",by the way i have to ask you something,neutral
506,"thx 4 d info, appreciated",thanks for the information i appreciate it,positive
507,"dude, stop being salty",dude stop being upset,negative
508,"hmu l8r, we can hang",hit me up later we can hang out,negative
509,tryna get sum pizza?,are you trying to get some pizza,neutral
510,"bruh, dat's insane!",brother that is insane,negative
511,"idc, do what u want",i do not care do what you want,negative
512,"cnt believe dat happened, smh",cant believe that happened shaking my head,negative
513,whatcha doin tmrw?,what are you doing tomorrow,positive
514,lemme know if u down,let me know if you are interested,neutral
515,"lowkey, dat's my fav show",secretly that is my favorite show,positive
516,"gonna crash, ttyl",going to sleep talk to you later,neutral
517,"rn, im swamped w work",right now i am overwhelmed with work,negative
518,"imma head out, gtg",i am going to head out got to go,negative
519,"jk, wasn't serious abt dat",just kidding i was not serious about that,negative
520,wyd l8? let's hang,what are you doing later lets hang out,positive
521,dat sounds sus 2 me,that sounds suspicious to me,negative
