Text,Meaning,Sentiment
yay doctors now interview then back 2 the doctor`s for blood work,yay doctors now interview then back 2 the doctor`s for blood work,neutral
Filming at a carnival for my music video... It reminds me of the Cherry Festival that I used to go to back home... Ahhh memories...,Filming at a carnival for my music video. It reminds me of the Cherry Festival that I used to go to back home. Ahhh memories.,positive
I`m siiiiiickkk I dun feel good!!,I`m sick I dont feel good!,negative
Propellerheads has been on my harddrive for a long while. Just got my music repo back in shape this WE and felt nostalgic,Propellerheads has been on my harddrive for a long while. Just got my music repo back in shape this whatever and felt nostalgic,positive
Glorious sunny day in London town.. I`m in drama school fighting people with swords while protecting my romantically structured face,Glorious sunny day in London town. I`m in drama school fighting people with swords while protecting my romantically structured face,positive
_89 I feel so sorry for her hope she dnt cry 2nd time,_89 I feel so sorry for her hope she dont cry 2nd time,negative
would wish the severe migrains would stop!!! doc`s prescriptions arent working,would wish the severe migrains would stop! doctor's prescriptions arent working,negative
"09/09 +full moon+ my lovely friends and family= my b-day wish came true;)<3 In addition,gray matters is one of the cutest movies ever!!","09/09 +full moon+ my lovely friends and family= my birthday wish came true;)<3 In addition,gray matters is one of the cutest movies ever!",positive
My Life Would Suck Without You - Kelly Clarkson,My Life Would Suck Without You - Kelly Clarkson,negative
revising for exams,revising for exams,neutral
"you should so host the next logies, i only laughed at your bit really","you should so host the next logies, i only laughed at your bit really",positive
Hi Jordan i`m gonna all of u...I know ur busy and i know ur probably tired. but please reschedule NC. don`t leave us out.,Hi Jordan i`m gonna all of you.I know ur busy and i know ur probably tired. but please reschedule not classified. don`t leave us out.,neutral
__joy i feel like red lea now,__joy i feel like red lea now,positive
I`d love to but I think the trek from London would be a bit too much,I would love to but I think the trek from London would be a bit too much,neutral
hey hey,hey hey,neutral
thinks revising in the garden from 8 this morning without sunscreen isnt the best idea ive had oucccccccch,thinks revising in the garden from 8 this morning without sunscreen isnt the best idea ive had ouch,negative
Is miserable i feel like im gona cry sux!,Is miserable i feel like im gona cry sucks!,negative
i know they are delicious.miss germany but like holland as well as we used to shoppin there at weekends.lol,i know they are delicious.miss germany but like holland as well as we used to shoppin there at weekends. laugh out loud,positive
"LOL, very true. Maybe next year. I loooved that siggy, and I don`t remember what the password for the mod thing was Cake?","laugh out loud, very true. Maybe next year. I loooved that siggy, and I don`t remember what the password for the mod thing was Cake?",positive
"lol, get watching it again hehe","laugh out loud, get watching it again hehe",neutral
Hope you did great - you certainly spent enough time studying.,Hope you did great - you certainly spent enough time studying.,positive
btw - downloaded iphone 3.0 sdk,by the way - downloaded iphone 3.0 sdk,neutral
Straighening my hair and its not going as straight as i want it to be what a bummerrr for me,Straighening my hair and its not going as straight as i want it to be what a bummer for me,negative
"I need botox work on the lips if I`m going to change my name to Angelina Jolie, but it`s a thought! Sad though about the racism","I need botox work on the lips if I`m going to change my name to Angelina Jolie, but it`s a thought! Sad though about the racism",negative
"me? A doctor? *laughs* oh, no, no, no. I was _crane`s patient at Arkham Aslyum, but now I work for him","me? A doctor? *laughs* oh, no, no, no. I was _crane`s patient at Arkham Aslyum, but now I work for him",neutral
Morning all! Have a GREAT DAY! Off to school I go,Morning all! Have a GREAT DAY! Off to school I go,positive
"now, in a weird mood muahaz","now, in a weird mood muahaz",negative
congrats! Photo of dre?,congrats! Photo of dre?,positive
"#SanctuarySunday thanks for joining on #SanctuarySunday, follow more Sanctuary people to keep up to date on the tweets!","#SanctuarySunday thanks for joining on #SanctuarySunday, follow more Sanctuary people to keep up to date on the tweets!",positive
"Done at Disneyland, kid`s knocked out, stopped by the hotel bar and grabbed a grey goose & tonic on the way up...peace","Done at Disneyland, kid`s knocked out, stopped by the hotel bar and grabbed a grey goose & tonic on the way up...peace",positive
ok. lol. i miss you too. i hope your cramps get better. i know how painful they can be.,ok. laughing out loud. i miss you too. i hope your cramps get better. i know how painful they can be.,neutral
"Oh, and a very good review","Oh, and a very good review",positive
_MileyCyrus it wont let me do it twitter keeps saying over twitter capacity or something that bird keeps coming up.,_MileyCyrus it wont let me do it twitter keeps saying over twitter capacity or something that bird keeps coming up.,negative
I`m extremely hungry.... and the only thing I have in my house is Soup... I don`t like soup... *pouts*,I`m extremely hungry. and the only thing I have in my house is Soup. I don`t like soup. *pout,negative
its hilarious,its hilarious,positive
I love the guy that was standing behind me,I love the guy that was standing behind me,positive
Bout to hit the sack...got **** to do tomorrow. Happy mothers day MOM!,about to hit the sack...got **** to do tomorrow. Happy mothers day MOM!,positive
lost my DC hat ..,lost my Detective comics hat.,negative
starting the video editing of the first spanking movie we did with Mina ... it will be added to the next update,starting the video editing of the first spanking movie we did with Mina ... it will be added to the next update,neutral
"In effect, your podcast IS the audio version of your book. Isn`****? (plus, it has the added charm of banter )","In effect, your podcast IS the audio version of your book. Isn`****? (plus, it has the added charm of banter )",neutral
"Sunny synday morning. Nicole is up later than usual, mommy got some sleep","Sunny synday morning. Nicole is up later than usual, mommy got some sleep",neutral
Browsing find everything about university & interior design.,Browsing find everything about university & interior design.,neutral
I have not tweeted for SIXTEEN DAYS! I miss it =( I`ve been having fun though! =D Ingrid on mon was frakking awesome BBQ today!,I have not tweeted for SIXTEEN DAYS! I miss it =( I`ve been having fun though! =D Ingrid on mon was frakking awesome barbeque today!,neutral
visit si fr joemar dito bataan (frm camiguin) & sum of my ofcmates& i are supposed to meet him this saturday can`t luwas,visit si fr joemar dito bataan (frm camiguin) & sum of my ofcmates& i are supposed to meet him this saturday cannot luwas,neutral
I am soo excited about your pasadena seminar...if only i can find the confermation email,I am soo excited about your pasadena seminar. if only i can find the confermation email,positive
Ugh I don`t feel well again all of a sudden,Ugh I don`t feel well again all of a sudden,negative
I want a new phone I`ve seen too much cellphone commercials (,I want a new phone I`ve seen too much cellphone commercials (,negative
we`ll test that theory with no right arm to strum with. Got a feelin I`ll be humming my new tunes for a while,we`ll test that theory with no right arm to strum with. Got a feelin I`ll be humming my new tunes for a while,negative
